0,1
2,66
2,91
4,6
5,96
5,130
5,156
5,160
6,4
6,95
8,9
8,17
8,18
8,108
8,151
8,162
8,164
9,8
9,17
9,18
9,108
9,151
9,162
11,12
12,11
17,8
17,9
17,18
17,151
17,162
17,167
18,8
18,9
18,17
18,108
18,151
18,162
18,167
23,34
23,120
27,28
28,27
30,31
31,30
31,38
31,39
32,33
32,104
32,119
33,32
33,104
33,119
34,23
34,120
38,31
38,39
39,31
39,38
51,52
51,54
52,51
52,53
52,54
53,52
54,51
54,52
58,59
59,58
60,61
61,60
66,2
66,91
68,69
69,68
77,78
78,77
86,87
87,86
91,2
91,66
95,6
96,5
96,130
96,160
100,101
101,100
104,32
104,33
104,119
108,8
108,9
108,18
108,151
119,32
119,33
119,104
120,23
120,34
122,123
123,122
130,5
130,96
130,160
135,136
136,135
137,167
142,167
151,8
151,9
151,17
151,18
151,108
151,162
151,167
156,5
156,160
160,5
160,96
160,130
160,156
162,8
162,9
162,17
162,18
162,151
162,164
164,8
164,162
167,17
167,18
167,137
167,142
167,151
