genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
IDI2,hsa-miR-103a-2-5p,SNX10,PSORS1C1,KLRF1,MUC17,DNAH11,OVOL1,CNBD1
GJC2,SLC35F3,KCNA7,hsa-miR-4787-3p,FCAMR,KCNK13,COL28A1,PPY,CD300LG
TMPRSS4,hsa-miR-6502-5p,hsa-miR-103a-2-5p,AKR1C4,FCER2,ARHGAP9,KCNAB2,RNF166,CLPSL1
AC004381.7,ZMAT1,IL31RA,FLRT2,FCRL5,TMIE,PRAM1,CPAMD8,ZBED2
CRTAC1,GMFG,RBP3,PLCB2,LRTM1,PIK3CG,ABCD2,CHRNA3,CYP3A4
CXCR6,CERKL,NOX5,HCLS1,hsa-miR-203b-3p,MGC32805,NKX2-2,TLX1,RP11-132N15.3
AGXT,ELF5,PIK3CG,CCR1,hsa-miR-3131,RP11-456O19.4,PIK3CG,STAC3,SLFN12L
NUP62CL,PAPL,hsa-miR-139-5p,RUFY4,AC012531.25,AC093642.1,LINC00589,FAM150B,hsa-miR-144-3p
LL22NC03-75H12.2,hsa-miR-363-3p,FLJ34503,SLC9A2,RP5-1011O1.3,GPR17,ADAP1,DNAH2,OASL
AMY1B,hsa-miR-4683,hsa-miR-486-5p,UNC80,LINC01018,VWA5B2,C1QL4,LIPH,APOC3
FUT9,CCL25,hsa-miR-126-3p,TUSC5,LINC01508,PCDH8,CR1L,CELA2A,FPR3
RNF144B,hsa-miR-19a-3p,CRABP2,CD300LB,AC093627.7,TCN1,RP11-321N4.5,ALDOB,LCP2
RBMS3-AS2,FOXA1,hsa-miR-4726-5p,PF4V1,CTB-43E15.1,NPSR1-AS1,hsa-miR-1269a,CHIT1,SCGB1D2
TRBV11-2,HIST1H2BI,LPHN3,CD53,RP11-535A19.1,MAPT,TMPRSS4,TUBB4A,ACMSD
RP5-1042I8.7,MEF2C,C4BPB,GPR174,RP11-108M12.3,CD33,RIMS2,TCEAL6,GPR20
RP11-832A4.7,NME8,AC145110.1,LAMB3,RP5-1033H22.2,ACSM5,hsa-miR-215-5p,ZDHHC22,PCDH20
AC079612.1,HCK,CHI3L2,LYPD4,AGAP1-IT1,XKR7,LHX1,IGSF6,GALNT12
MMP1,SYT8,hsa-miR-146a-3p,TM4SF4,AC012499.1,AHSG,COL6A6,CCL14,TMPRSS11D
TRAPPC3L,PLA2G2A,hsa-miR-1292-5p,INSM1,RP11-542G1.1,KCNA7,RP11-1036E20.9,A1CF,DNER
RP4-799D16.1,AC005256.1,PLCG2,GREB1L,HTR5AOS,FAM150B,UGT1A8,CXCR1,LRRC19
LINC01234,SBK1,RP11-50I19.2,ACER2,RP11-108K3.1,OVAAL,RP11-131H24.4,RBFOX3,SLC27A2
hsa-miR-342-5p,ARHGAP4,SOX21-AS1,OR2L13,LINC01443,ANK1,KRT4,CLCA4,MS4A2
C22orf34,RP11-143A12.3,ZG16,MMP28,RP1-122P22.4,RP11-470L19.2,hsa-miR-16-5p,TAGLN3,MKRN3
EVPL,CYP3A4,DEFB132,FAM215A,SSTR5-AS1,CYP4F2,CXorf21,AFF3,PNCK
RP11-595B24.2,TREM2,MFSD2A,HMHA1,LINC01251,SHANK3,hsa-miR-505-3p,DDX53,BCO1
RP11-96O20.2,DOCK10,MYOCD,RP11-35N6.1,CTD-2089N3.2,GPR34,STAC3,CA14,AMY1B
IL7R,SERPINA5,FXYD4,ZNF257,PP14571,CTD-2566J3.1,DNAH2,TRNP1,MYBL1
hsa-miR-5586-5p,GYPC,hsa-miR-3655,LRRTM1,SATB2-AS1,C2orf54,IVL,COL2A1,RP11-647F2.2
LINC01180,TNFAIP8L2,RP11-416N2.3,KCNT1,OVOL1-AS1,DDX53,STAR,COL11A2,SNCB
CASC8,CD160,NLRP13,HIST1H2BI,AC011899.10,MET,PADI4,MS4A6E,BLK
PLP1,LEP,hsa-miR-1251-5p,GNG13,LINC01124,CD37,SLURP1,KLHL41,PIK3R5
STAC3,MS4A1,hsa-miR-144-5p,FAM222A,RP11-650L12.2,CLEC3A,CACNG6,DNAH11,OR1N2
AP000295.9,FGD3,KIR3DL1,SMLR1,RP11-388K12.2,TLR8,LINC00173,CFAP61,IL22
PRSS21,FLT3,hsa-miR-1537-5p,NOXO1,XXbac-B444P24.8,HIST1H4I,MYOCD,SERPINA11,PGLYRP1
DEFB132,ABCD2,hsa-miR-1271-5p,CLEC12A,LINC01139,DDC,RP11-543H23.1,SEZ6,USP41
ZNF578,PAX5,MYBPC2,FBXO40,RP11-21B23.2,RP13-379O24.2,FLJ34503,NCF2,CASS4
RP11-481J2.2,TLR8,RP11-356J5.13,SIRPG,RP11-74E22.8,FAM3D,P2RY10,MPEG1,AF124730.4
RP11-442O1.4,TMEM14E,JPH1,IL16,RP11-10H3.1,SLC7A11-AS1,BACH2,KLHL14,RP11-534L20.5
LINC00643,PSTPIP2,ZNF578,CSMD2,RP11-284F21.9,AF124730.4,PRAC2,DDX25,HP
OIT3,LYPD4,GALNT5,C5AR1,LINC01079,CTA-384D8.31,hsa-miR-490-3p,GLRA2,ATOH1
GABRQ,C12orf42,AOAH,TDRD10,RP5-984P4.4,OR2H1,hsa-miR-505-5p,SLC22A9,FCGR1B
SOST,PSG8,hsa-miR-377-3p,SLC22A31,LINC00460,C11orf21,MS4A7,GRAP,hsa-miR-340-3p
CTD-2529P6.4,DEFA4,RP11-431K24.1,NPIPB9,CTD-2210P24.3,FCRL2,CSMD3,TBX15,MS4A1
OTX1,SLC7A9,CST4,GZMA,RP11-367G6.3,LINC00111,C1orf226,ANLN,CD300LF
LILRB1,NRXN1,RP11-523O18.7,PCDH9,AC008937.2,LINC00954,TYROBP,C5orf46,IL18RAP
RP11-468H14.2,OR5AK2,RP11-411K7.1,PLEKHO1,AC013271.3,CD1D,hsa-miR-205-5p,ZNF560,SCGB3A1
TMEM59L,MMP12,GTSF1L,SLC26A3,AC010969.1,CTD-3138B18.4,XCL2,ATG16L2,HAPLN2
RP11-219E7.1,PRR9,C2orf82,SLC9A4,RP11-278A23.2,SMIM2-AS1,LINC01447,PTPRZ1,RP11-862G15.1
FAM178B,KLHL14,SLC9A3,TINAG,RP4-809F18.2,SLC6A14,C1QL1,EXOC3L1,FERMT1
ZNF695,HPGD,CSMD3,MUC21,RP4-644L1.2,IL7R,RP11-415C15.2,CCL25,TNFRSF9
SCN10A,OTOP3,L1CAM,SPINK5,CTD-2525I3.6,TFF2,CFAP99,ZBTB32,SLITRK6
RNF166,VPREB1,RAB42,4-Mar,CTD-2373N4.5,RP11-495P10.5,AC144450.2,SMAP2,PCDHA5
hsa-miR-223-3p,HIST3H2BB,ATP2C2,SULT1C3,RP11-360F5.3,ZNF716,TLR8,TRAPPC3L,MEF2C
DNAH2,KRT25,C19orf35,AQP2,CTD-2532N20.1,CD247,PDZD3,CYP4F2,GJD2
TRIM50,TDGF1,TACR2,FAM150A,AJ003147.11,BCL2L14,RP11-766F14.2,CACNA1A,RP11-327F22.1
hsa-miR-1258,HBM,hsa-miR-670-3p,DLX6,AC007036.6,SEPT6,ARHGAP4,STAR,AOC1
hsa-miR-4732-3p,CMBL,hsa-miR-1180-3p,RHBDL1,CTD-2020K17.1,C10orf128,C2orf82,GPR119,RP11-116D2.1
RP11-48B3.4,C6orf15,UGT1A8,FAM57B,RP11-80H8.4,hsa-miR-4668-3p,TRIM58,GUCY2F,WFDC12
ANKLE1,KCNIP2,DCAF12L1,F7,RP11-197K3.1,RP11-407H12.8,RP11-756G20.1,GMFG,SSTR1
hsa-miR-618,NKX6-2,C6orf100,OMP,CTD-2528A14.5,KLHL14,LINC00996,TUBB2B,APOC1
LA16c-380H5.4,SCN11A,RP1-77H15.1,CRISP2,LINC01058,CALHM3,BTNL3,ALS2CR12,L1TD1
XKR3,LRRC31,hsa-miR-501-3p,OOEP,RP11-58E21.7,C5orf38,ANKRD33,ERBB4,CYP4F8
hsa-miR-342-3p,RETN,hsa-miR-484,ISL1,RP11-254F7.3,CLPS,NXPE1,CXCR6,RGL4
hsa-miR-4787-3p,TBX21,hsa-miR-205-5p,C9orf152,LINC01114,AC023590.1,hsa-miR-7702,PIGR,TGM5
hsa-miR-4662a-5p,KIR2DL1,MOGAT1,HIST1H2BG,CTD-2008L17.2,APOA4,CNBD1,GRIN2B,LINC00707
P2RY13,SYT14,hsa-miR-215-5p,SSTR2,RP11-876N24.4,IGFLR1,CLEC17A,CARD18,TXK
RP11-321N4.5,GGTLC1,EVL,BCAN,AC006272.2,SYT13,SCN10A,LYL1,KMO
RP11-283G6.5,S1PR5,IVL,HS3ST4,CTB-41I6.1,G6PC,AGXT,C10orf128,ACADL
APLN,LINC01331,KRT222,IYD,CTD-2313F11.1,RP11-484O2.1,CTD-3096M3.1,WDR87,CFAP46
U47924.27,DSG1,ASB4,OR5AK2,MIR600HG,LPXN,SOX15,PI3,SBK1
COL6A6,CASP16,RIIAD1,MMP12,CTD-2332E11.2,MAGEA3,NR5A1,ITPKA,AVPR1B
GTSF1L,LILRA1,hsa-miR-3074-5p,SLC7A4,RP11-960L18.1,IPCEF1,AJAP1,C19orf38,GPR142
RP11-534L20.5,CXCR1,CDH23,VIPR1,AC144835.1,NPHP3-AS1,hsa-miR-1976,TRIM58,SCGN
hsa-miR-146a-5p,WDFY4,RP11-761I4.4,ASIC4,FAM53B-AS1,SLC6A19,FAM153A,UGT1A8,NKX2-1
ARX,ANKRD30A,RP11-128B16.3,STX1A,AC007386.4,C1QL4,APLN,PTK6,SP140
hsa-miR-124-3p,CD300LF,C1QL1,KCNH5,RP1-47M23.3,MS4A15,PMP2,NPFFR2,MAP3K8
RP11-114G11.5,ZC3H12D,CD1D,SCN11A,VAV3-AS1,MS4A14,ZP3,PALD1,RP11-771K4.1
SIGLEC7,LRP2,hsa-miR-16-5p,DSCR8,AC079767.4,SHISA7,CD1D,UGT1A4,FAM25A
MS4A7,RTBDN,CCDC108,TBX21,LY86-AS1,ANKLE1,IL7R,hsa-miR-30e-5p,MOGAT2
hsa-miR-766-3p,MNDA,hsa-miR-505-5p,KIR2DL1,AC012123.1,NR5A1,MOGAT1,PRKCG,HMHA1
CXorf65,C19orf38,KCNG4,FAM159B,SMLR1,LINC00444,hsa-miR-1304-3p,TMEM132D,KIAA1324
TFAP2B,AJAP1,hsa-miR-505-3p,COL4A3,MAPK15,SHISA9,TDRD5,hsa-miR-4665-5p,KLRD1
AC114730.3,IKZF3,hsa-miR-3614-3p,PLIN4,ITGA3,RP11-1036E20.9,EVPL,CLEC17A,C2orf61
TRIM40,SIAH3,hsa-miR-194-5p,FBXL16,DEGS2,ITPKA,LINC00111,SHISA9,UNC93A
RP11-862G15.1,RP11-30O15.1,CPAMD8,CDH10,ATG9B,ADRA1D,hsa-miR-3614-3p,PLEK,CGB
NKX1-2,P2RY8,APOE,GCG,FAM222A,TMEM132C,CCDC108,IL12RB1,EVX1
PIK3R6,ITLN2,MMP7,NECAB2,CYP4F8,TRIM58,RIPPLY3,EMX1,PRAME
SOX15,KISS1R,AKR1C1,RP5-1011O1.3,GSTT2B,FCGR3A,ZNF730,GCK,HIST1H2BC
RP11-304L19.3,CD72,RP11-766F14.2,VAV3-AS1,FOXB1,HSD11B2,PLCG2,TNFSF8,ITLN1
RP11-374M1.2,CCM2L,NTF4,LYPD2,CEACAM7,RP11-9G1.3,hsa-miR-33a-3p,C10orf105,HIST2H4A
IL12RB1,MCEMP1,PIK3R6,SCRT2,SDC1,SERPINA11,ATP2C2,MS4A14,TGM3
MIR31HG,SHISA7,RP11-742B18.1,LRCOL1,CHRNA9,AP000295.9,C19orf35,C19orf35,CALY
GLYATL3,RAB42,CREB5,RHBDL2,PCDHA5,OIT3,RASSF4,TMEM59L,SYCE3
RD3,CD1C,hsa-miR-7702,CTD-2210P24.3,HOXA5,NCF2,RP11-523O18.7,TMEM52B,UBE2U
RP11-187E13.1,NUP62CL,C6orf223,CRCT1,ESRP1,TCP11X2,ITIH5,SEPT6,SYTL5
ACTL6B,TAC3,IDI2,RP5-984P4.4,GDNF,RP11-326C3.14,HS3ST6,GRIA3,PIH1D3
CREB3L3,PLEK,ADAP1,OR2C3,NYAP1,CACNA1A,CCR7,SCN10A,AC013275.2
CXorf21,LILRB1,TIGIT,KCNIP2,LRRC24,RFX6,GPR158,TYROBP,HOXA6
GIMAP1,SLC5A10,MTNR1A,GRAMD2,KBTBD12,RP11-11C20.3,AC098828.2,CNIH2,BTBD11
RP11-114M1.2,ABHD17C,CTD-2589M5.4,LY6H,HIST2H4A,FUT9,RP11-93K22.13,SPRR1B,LYPD8
DIAPH2-AS1,CAMP,AKR1B10,hsa-miR-4662a-5p,SLC35D3,AC079466.1,LGALS9B,CXorf65,CYP4A22
hsa-miR-32-5p,RP1-45N11.1,LMAN1L,HBM,EDAR,CTD-2291D10.4,AKR1C1,THRSP,DHDH
P2RY10,RP1-232L24.3,OTOGL,RP11-126K1.6,MEGF10,FSTL4,KLK7,hsa-miR-605-5p,RP11-75L1.1
MMP25,RP11-278H7.5,ARHGAP4,KCNJ10,HSPA1B,S100A14,hsa-miR-200b-5p,BEST2,KCNC1
RP11-116D2.1,RP11-552D8.1,OR6K3,TTC6,HMGA1,RP4-555D20.1,TNFSF8,ABCC8,PREX1
PIK3CG,PCSK2,hsa-miR-545-5p,GGTLC1,GBP6,CEMIP,RP11-863H1.1,GALNT5,PCSK2
hsa-miR-616-5p,RP5-966M1.6,RP11-428K3.1,HBA2,MET,hsa-miR-19b-3p,RP11-285E9.6,IL7R,LILRB5
CHRM3-AS2,hsa-miR-144-5p,CR1L,hsa-miR-93-3p,SLC17A6,SOST,hsa-miR-545-5p,VAT1L,ESX1
RP11-115H13.1,hsa-miR-451a,hsa-miR-1304-3p,PRKCB,GRIA3,NKX2-8,LINC01224,CLEC4E,SV2B
U62631.5,TBC1D10C,GPR1-AS,SIX2,KCNB1,RSPO2,DEFA3,KLK6,LINC01297
hsa-miR-4668-3p,C1QA,MAB21L2,APELA,MELK,CNTD2,GIP,LCP1,PXT1
LINC00563,AIM2,STAC3,SLC6A17,TRNP1,RP11-285E23.2,hsa-miR-145-5p,CRYBB1,CYP27A1
UGT1A4,ARHGAP9,RP3-455J7.4,NEUROD1,FGF14,CDCA7,MAB21L2,KCNN4,CACNA1A
PPY,PHOSPHO1,hsa-miR-548ba,ANKDD1A,SYCE3,CTD-2215E18.1,hsa-miR-581,KAZN,MYO1A
FAM153C,PCDH15,SFTA2,RP11-118A3.1,KRT3,ZNF831,CKMT1A,PAX3,EPHA5
hsa-miR-19b-3p,GJB5,KCNAB1,DEPDC1B,PRKCG,U47924.27,DCAF12L1,KBTBD8,FGR
AF124730.4,BTNL3,GJC2,PON3,NCBP2L,GIMAP6,SHISA7,TNFRSF13C,CGA
TMEM255A,FCER1G,hsa-miR-592,PLS1,LPHN3,D4S234E,RP11-346D19.1,RP1,SLC7A10
LINC01436,HOXA10,hsa-miR-1976,FGF14,GRAMD1B,DLX2,PDLIM3,FSIP2,LAMA3
CTD-2089N3.1,POU2F2,ATG9B,HAMP,MYL2,PADI1,FSIP2,ITGAX,AK5
ACP5,ZDHHC22,hsa-miR-145-5p,CD84,TOB1,EVX1,ISX,ABI3,TBC1D10C
CD160,CCL14,RP11-53B2.1,PSMA8,TLX3,hsa-miR-616-5p,BCL2L14,C11orf86,C19orf81
RHCG,CD37,hsa-miR-424-5p,RESP18,CDC20,GC,SFTA2,APOBEC3A,SERPINC1
DES,AIPL1,PRAC2,EBI3,KIF14,GPC5-AS1,RP11-761I4.4,CGB7,CORO1A
MMP3,MAPT,hsa-miR-581,THEMIS2,CBLC,RP11-613C6.2,OIT3,SUSD3,ATG16L2
LINC01037,SPATA21,hsa-miR-1269a,CECR1,EFHC2,hsa-miR-767-5p,hsa-miR-424-5p,FCGBP,MMP13
RP11-102L12.2,PVALB,RP11-764K9.1,IL2RB,EIF4E1B,C6orf223,AMH,TCEAL2,RP11-345L23.1
LA16c-352F7.1,PYY,FUT7,GBP5,ALDOB,CCR7,SLC6A19,PRDM12,hsa-miR-548v
RP11-286H15.1,KRT14,hsa-miR-490-3p,RFPL4A,MALRD1,C11orf44,PPBP,BTNL8,XAGE5
CTD-2196P11.2,UPK1A,RTBDN,TRIM22,CYP4Z1,TNFRSF13C,DSG3,AXDND1,SLC35F4
hsa-miR-196b-5p,AC093375.1,LINC00311,LHX5,MYPN,GUCY2F,hsa-miR-450a-1-3p,AMY1B,IL4I1
CDHR5,RP11-345L23.1,AC098828.2,FABP6,GNG13,SCN10A,RHCG,C1QL1,COL11A2
FCRL3,CRYGD,RP11-93K22.13,MIA,CRCT1,CD38,IL31RA,GDF7,FAM78A
RXFP4,ARHGAP25,GPR158,SPDEF,SERPINC1,THRSP,CTD-2589M5.4,TMEM92,PPP3R2
hsa-miR-767-5p,ACTG2,CACNG6,CHRM2,E2F7,RP11-415C15.2,ATG9B,HIST1H2BC,ATP6V0A4
GPR98,CNTFR,LINC00987,LHFPL4,SOWAHA,ATG9B,CDH23,CXorf21,B3GNT6
FOXE1,SOWAHD,CRTAC1,MORN5,TMEM92,C5orf46,SMIM5,PIK3R6,HS3ST6
hsa-miR-497-3p,CFTR,CTC-137K3.1,GAS2L2,C6orf223,TNFSF8,LMAN1L,ARL14,LGR5
hsa-miR-4632-3p,KLHL30,GNGT1,EYA1,AK5,PRAC2,RP11-1101K5.1,MYADML2,KCNN4
1-Dec,SBSPON,hsa-miR-135b-3p,IL36G,C11orf86,PTGDR2,NUGGC,TGFB3,ZNF727P
C1QL4,RP11-946P6.6,ALOX5AP,DUSP26,NDNF,AC079612.1,RP11-356J5.13,UNC79,RP11-415C15.2
ISX,CSF3R,RAB27B,TCEAL5,DHDH,MIR223,hsa-miR-93-3p,TMEM40,STMN4
ABHD17C,SLC15A3,RP1-102K2.6,RBP2,PLS1,RP11-485G7.6,AC006262.5,POU2F2,S1PR5
CPS1,ABCA13,TRPM5,DNAJC5B,FFAR1,hsa-miR-4662a-5p,RP1-77H15.1,CD72,CRYGD
GPR158,NKG7,XKR7,ARHGAP36,TPX2,LILRB1,TCEAL2,HBD,BTNL9
IGSF6,FAM187B,PLP1,RHOH,PITX2,SOX15,ITLN2,NME8,SHD
CNBD1,CABP7,DNAH2,LGI1,CKB,MNDA,RP11-416N2.3,MASP1,CD72
hsa-miR-454-3p,DQX1,hsa-miR-658,CDHR3,HS3ST6,TMPRSS15,NUP62CL,RIMS2,STAB2
RP11-340F14.6,hsa-miR-144-3p,RP11-680F20.9,hsa-miR-3131,MAS1,OFCC1,ARHGEF16,OFCC1,RP11-126K1.6
NXPE1,SHISA9,CXCR1,SLC30A8,PON3,SCGB2A1,KCNK16,VENTX,CIB4
TDRD5,THEMIS,RP11-814P5.1,RP11-388K12.2,CFAP45,EPB42,GJC2,KRT19,FENDRR
LIPK,AMER2,NLRC4,RPTN,FAM19A4,ZNF578,GNGT1,GAPT,RASGRP4
RP11-89K21.1,LY6H,hsa-miR-33a-3p,CD226,CALML4,PADI4,RP11-50I19.2,HEPACAM,RP11-161I6.2
DSG3,PRSS21,FSIP2,RP1-47M23.3,FAM131C,MS4A7,MS4A15,ARHGAP4,RTP5
TRIM46,SCN4A,FUT9,KNG1,INSM2,GALNT5,CPAMD8,EPB42,TMEM257
RP11-326C3.12,IFFO2,LINC00494,CCM2L,HIST1H2AM,NME8,ICAM3,CYP4A11,INSM2
ZBBX,TGFB3,DEFA3,HOTAIR,CAPNS2,RP11-102L12.2,hsa-miR-658,CNTNAP4,ELANE
ZP3,MYRFL,A2ML1,FFAR1,OASL,CXCR6,SOST,HBA1,DMRTC2
NEK2,USP44,RP11-527L4.2,SLC17A8,LAMB3,AC091801.1,CREB3L3,AP000295.9,KRTAP29-1
EOMES,IDI2,PDZD3,CCL3L3,ESX1,LINC01180,FAM83E,RFPL4B,PAPL
RIPPLY3,CSNK1A1L,hsa-miR-200b-5p,LILRB4,ARHGEF16,LRRC53,AP000295.9,OR2H1,CASP14
SLC28A2,CHGA,SCUBE1,RP11-95M15.1,MLNR,GRIA3,UTS2,MYOCD,MS4A10
TMEM132B,SUSD3,RP11-449D8.5,FYB,PSORS1C1,COL2A1,C6orf99,GSDMC,HSF5
CKMT1A,COL6A6,C1orf226,CCDC178,PRB3,CRHBP,hsa-miR-135b-3p,RASAL1,SLC22A12
JPH1,C11orf21,PIGR,LILRB3,KLHL30,DNAH2,ITGB2,XKR7,TP73
SLC10A2,PATL2,RP1-90G24.11,MTRNR2L11,IRX5,SERPIND1,KRT222,CTB-133G6.1,GSTT2B
CLCA4,CDHR1,hsa-miR-26b-5p,PILRA,FABP7,SLC6A8,RP11-431K24.1,CES3,APOBEC4
RASSF4,SLAMF6,RP11-180P8.1,NLRC5,C1orf226,HOXB13,GPR1-AS,AMHR2,AGT
HTR1D,DPEP2,CELA2B,ZIC2,TRIM46,CTD-2369P2.8,CXorf65,RLTPR,JPH3
KLK7,TCL1A,hsa-miR-552-3p,RETNLB,USP41,CEACAM20,SH3GL2,HYAL4,GAL
CES3,IGSF1,SIGLEC14,NTSR1,GALNT12,CHST6,HSD11B2,FAM81B,ACSM3
CRABP2,FBXO40,FAM83E,SPOCK3,ALOX12B,APLN,FEV,C6orf15,ARL14
RP11-613C6.2,CLEC4E,hsa-miR-3191-5p,C9orf24,PEG10,C6orf99,P2RY13,PITX1,BCAS1
GC,GRB14,hsa-miR-93-3p,AMY2B,EPS8L1,CXorf65,RP11-326C3.15,HTR1D,TDGF1
TACR2,BAIAP2L2,ABCA12,ONECUT3,TAS2R38,FCRL3,FAM101A,KLRG1,PAPPA2
EVL,SLC28A2,PRSS51,FOXD1,PTGS2,ANKRD33,APOA1,CCDC114,MS4A6E
COL28A1,NOXO1,CSNK1A1L,SBK2,CERS1,SIGLEC7,RP11-449D8.5,CD300LF,SAA2-SAA4
RP11-647F2.2,CLEC12A,RP11-81H14.1,HR,SPAG4,WI2-2373I1.2,NLRC4,FCRL4,TM4SF20
HSD17B6,CYTH4,HPR,TNNI2,HIST1H2BN,FAM178B,ARHGAP9,AKAP7,MTTP
CHI3L2,COL4A3,TMPRSS4,NPIPA7,SFTPA1,PIK3R6,DSG1,RTBDN,PITPNM3
NLRP13,CD52,FAM178B,LRRC4B,FGL1,NPY4R,HPR,MAB21L2,C6orf99
GAPT,ATP4A,PABPN1L,AZGP1,EPHA10,PPIAL4C,hsa-miR-3191-5p,SLC6A18,FAM153B
RP11-322E11.3,PLIN4,hsa-miR-627-5p,COL19A1,CGN,CACNG6,SLC28A2,CHST6,BEND4
FXYD4,SAGE1,ANKRD33,RASGRP2,FAM101A,FASLG,LPPR3,KCNA7,PSG3
HLA-DRA,NR0B1,FASLG,H3F3C,RAB25,RP11-133K1.12,EVX1,PPBP,PRB2
RP3-448I9.2,NPFFR2,KCNAB2,IRF8,C10orf126,KRT2,CDHR5,ITIH5,WNT8A
TRPV2,PNOC,hsa-miR-450a-1-3p,ATP1A4,SOST,PITX1,AC093627.11,GJC2,GZMM
PADI4,AMHR2,RP11-1101K5.1,PYGB,C20orf195,ITGB7,RP11-1055B8.9,AIPL1,ZIC5
C4BPB,FAM65B,AANAT,NCKAP1L,TEX19,BTNL3,FASLG,ARX,C1QTNF9B
LY86,PADI1,RP11-227L6.1,ETV4,IQSEC3,STAR,MAPT,KIR3DL1,GATA5
UTS2,SIRPG,APOA1,CXCL6,RHBDL2,PRR33,RP3-448I9.2,CEA,hsa-miR-203a-3p
OR6S1,IL16,HIST1H2AM,CD244,HOXD13,MAGEA12,RP11-12J10.3,CSNK1A1L,RAB26
KCNG4,STX16-NPEPL1,hsa-miR-7-5p,ADAP2,PCP4L1,hsa-miR-766-3p,PABPN1L,LHX1,FAM129C
FGD2,TRIM46,RP1-278O22.2,AC079767.4,USH1G,OTX1,AC079613.1,IDI2,LRMP
MYBPC2,UGT2B28,MS4A15,NDUFB8,KLK8,RP11-101E14.3,LINC00494,CEACAM1,PCDHGA1
RP5-907C10.3,C22orf42,LILRB1,hsa-miR-511-3p,TMEM38A,GTSF1L,NME8,SLC5A10,LYPD3
ALS2CR12,SYCN,SMIM5,CTC-573N18.1,TCP11X2,DEGS2,RFX6,LRP2,CALML4
RP11-411K7.1,SMIM21,IL7R,BAALC,KRT9,PRSS3,SIGLEC14,PRAC2,SIRPD
hsa-miR-4772-5p,hsa-miR-26b-5p,RP11-314M24.1,MYPN,DMBX1,SMIM6,TRPV2,CAPN8,FCN2
RIIAD1,hsa-miR-128-1-5p,RP11-234B24.2,CFB,NAPRT,CCK,CTC-137K3.1,SCEL,S100A7
KIR3DL1,SFMBT2,CFAP99,COL17A1,SLC39A5,RP11-321N4.5,B4GALNT2,TDRD5,C8G
RP3-455J7.4,MYBL1,MS4A7,NXPH1,PYGB,DEFB132,DPCR1,MUC5B,KLRB1
RP11-53B2.1,4-Mar,UGT2B4,S1PR4,AGT,KCNK16,XK,A2ML1,RIC3
C6orf100,NPIPB9,FOLH1,FTCD,CENPF,FEV,CST4,MMP1,DMBT1
RP1-102K2.6,GZMA,RIMS2,OLR1,GABRQ,CDH16,CRTAC1,ZBBX,KLHL6
hsa-miR-206,KIF17,AC006262.5,PRKAR2B,FSTL5,SDR16C5,PHOSPHO1,S1PR5,CYP4Z1
LINC00669,PCDH9,TLR8,CD300A,FHDC1,RFX4,LY86,HIST1H1C,CYP26A1
A2ML1,SULT1C3,AC007278.3,DMBX1,UGT8,LINC01207,NLRP13,TMEM132B,GRPR
LINC00987,hsa-miR-501-3p,FEV,KRT81,RBP3,APOH,FCGR3A,C1orf226,RP5-966M1.6
NTF4,SOX17,EMR2,MYH11,FBLL1,MMP3,RP11-771K4.1,ABCD2,NCAN
RP1-90G24.11,CCKAR,XK,FGL1,DDX25,FCRL4,SLC6A8,GJB6,BIN2
TM4SF19-AS1,SDPR,hsa-miR-1224-5p,CELF2,SMOC1,ZNF560,GPR17,LIMD2,GAD1
RP11-81H14.1,CRYBB1,CHD5,SNX20,LCN2,COL28A1,GAPT,LHX8,SASH3
LINC01259,PLEKHO1,SLC6A19,AHSP,WDR72,SPACA4,HTR1D,KRTAP29-1,DCSTAMP
RP11-297C4.2,MMP24,IL1R2,NFAM1,CFAP46,NEK2,CXCL17,APOH,SLITRK1
RP11-527L4.2,ANKDD1A,PRUNE2,PIK3AP1,RDH12,TBX15,TCN1,CRYGD,C1orf87
TIGIT,SERPIND1,DPCR1,VAV3,CST6,PSG9,GPRC5A,RIPPLY3,TMEM217
RP11-428K3.1,GRAPL,hsa-miR-192-5p,XIRP1,SH3GL2,RP11-326C3.12,G6PC,LGALS4,HMGCS2
AOAH,PRR33,TM4SF19-AS1,TCL1B,PRSS12,CXorf21,CRABP2,HMGA2,TMPRSS6
RP11-227L6.1,SH2D3C,RP11-713C5.1,TMEM26,GDA,ITGAX,CDH16,DPEP2,ANXA10
SPTSSB,SLC2A6,OIT3,FCN2,VAT1L,C9orf139,TPX2,SLURP1,BPIFB2
RP11-685G9.2,SI,FAM26F,SNTG2,SLITRK3,PLP1,TRPM5,CNTD2,ARHGAP28
MTNR1A,CASP14,CNBD1,SLC34A2,KIF4A,AGXT,HBA1,DEGS2,C20orf195
RP11-412H8.2,SLC26A3,STAR,FABP2,MTUS2,AC006262.5,RAB27B,JPH1,CD38
RP11-314M24.1,SLC9A4,FAM101A,LGI3,UGT1A4,ZBTB32,ABCA12,CERKL,APLN
RP11-814P5.1,TDRD15,SBK1,VSIG2,HES5,ITLN2,FOLH1,CYFIP2,SPRR2D
LGALS12,CTD-2207O23.3,LINC01259,C1orf194,UGT1A9,SAGE1,AC002511.3,CABP7,PAPLN
AC090627.1,SLCO4A1,LINC01090,LGALS7,CGB7,ABHD17C,FGD2,SYT13,ZG16
