genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
NKX2-2,hsa-miR-892a,hsa-miR-19b-3p,HEPACAM2,KIR2DL1,C2orf82,hsa-miR-891b,hsa-miR-4787-3p,RP11-595B24.2
RP11-626G11.1,hsa-miR-590-3p,SMIM22,STYK1,CHI3L1,RP1-278O22.2,hsa-miR-423-3p,hsa-miR-4668-3p,HSPA1B
RP4-536B24.3,hsa-miR-4665-5p,hsa-miR-616-5p,NCCRP1,RP11-297D21.2,SIGLEC14,hsa-miR-454-3p,hsa-miR-32-5p,ZPBP2
DOCK8,hsa-miR-30e-5p,TMEM229A,CXorf22,HOXC-AS1,LINC00470,hsa-miR-552-5p,hsa-miR-205-5p,SDPR
DEFA5,CYP2C9,AP006285.3,UGT1A3,ARHGEF26-AS1,FOLH1,VSTM2A,hsa-miR-1251-5p,PRKCG
RASAL3,EVPL,LUZP2,IQGAP3,CTC-573N18.1,GPRC5A,TMEM92,hsa-miR-196b-5p,GPR119
CDHR4,hsa-miR-616-5p,hsa-miR-155-5p,CDX1,RP11-279F6.2,RETN,SCGB1A1,hsa-miR-155-5p,RP11-286H15.1
AFF3,SSC4D,HOXD10,C1orf110,RP11-385J1.2,CSMD3,hsa-miR-16-2-3p,hsa-miR-885-5p,PRODH2
MAPT-IT1,P2RY10,RP11-386M24.3,NGB,RP11-1112C15.1,APOA1,hsa-miR-3653-5p,hsa-miR-3653-5p,GH1
APOB,MMP25,PLA2G12B,SPDYC,TSPEAR-AS1,ADCY5,hsa-miR-1228-5p,hsa-miR-423-3p,PRSS57
PAX3,TDRD5,CA14,SYP,RP11-89N17.1,FABP7,C11orf21,hsa-miR-223-3p,BMP3
ANXA8,CDHR5,hsa-miR-139-3p,REP15,RP11-43F13.3,SPI1,KCNJ3,hsa-miR-4772-5p,OR52N4
MIR2117,ASPDH,C11orf21,ST18,CTD-3032J10.4,RP11-147L13.8,CTXN2,hsa-miR-767-5p,HIST1H2BN
SLURP1,hsa-miR-581,hsa-miR-140-5p,SPINK7,AC010890.1,AC021188.4,KLK11,hsa-miR-5586-5p,PPP1R14D
AC144450.2,hsa-miR-6503-5p,GRAP,SPIRE2,LINC01272,TRPM5,hsa-miR-146b-5p,hsa-miR-1292-5p,HEPACAM
GRM4,SEZ6,HOXB9,SLC5A1,CTC-551A13.1,ICAM3,CGB7,hsa-miR-33a-5p,CRYM
